Description,Lengths,Weight,Code,A
6x12.5,40',500# ea.,SWF06125,
8x13,24',533# ea.,SWF0813,3.84
8x13,25',325# ea.,USBEAM,3.84
8x15,23',345# ea.,SWF0815,4.44
8x15,27',405# ea.,USBEAM,4.44
8x18,"14' 8""",264# ea.,USBEAM,5.26
8x18.4,40',736# ea.,SWF8184,
8x21,12',252# ea.,USBEAM,6.16
8x21,18',378# ea.,USBEAM,6.16
8x21,"22' 5""",471# ea.,USBEAM,6.16
8x21,"30' 2""",634# ea.,USBEAM,6.16
8x31,7',217# ea.,USBEAM,9.13
8x31,"7' 11""",245# ea.,USBEAM,9.13
8x31,8',248# ea.,USBEAM,9.13
8x31,10',310# ea.,USBEAM,9.13
8x31,"10' 1""",313# ea.,USBEAM,9.13
8x31,"11' 4""",351# ea.,USBEAM,9.13
8x31,"11' 6""",357# ea.,USBEAM,9.13
8x31,"11' 11""",369# ea.,USBEAM,9.13
8x31,12',372# ea.,USBEAM,9.13
8x31,"12' 5""",385# ea.,USBEAM,9.13
8x31,"12' 6""",388# ea.,USBEAM,9.13
8x31,"12' 9""",395# ea.,USBEAM,9.13
8x31,"14' 11""",463# ea.,USBEAM,9.13
8x31,15',465# ea.,USBEAM,9.13
8x48,"13' 3""",636# ea.,USBEAM,14.1
10x19,27',513# ea.,SWF1019,5.62
10x19,50',950# ea.,SWF1019,5.62
10x30,"24' 4""",730# ea.,USBEAM,8.84
10x68,12',816# ea.,USBEAM,19.9
12x14,17',238# ea.,USBEAM,4.16
12x22,21',462# ea.,USBEAM,6.48
12x40,6',240# ea,USBEAM,11.7
12x72,"20' 8""","1,488# ea",USBEAM,21.1
12x87,30',"2,610# ea",USBEAM,25.6
12x210,"14' 7""","3,062# ea",USBEAM,61.8
12x252,"17' 2""","4,326# ea",USBEAM,74.1
14x22,25',550# ea,USBEAM,6.49
14x30,"16' 3""",488# ea,USBEAM,8.85
14x34,"23' 8""",805# ea,USBEAM,10.0
14x34,50',"1,700# ea",USBEAM,10.0
14x38,"12' 2""",462# ea,USBEAM,11.2
14x43,30',"1,290# ea",USBEAM,12.6
14x68,31',"2,108# ea",WF1468,20.0
14x89,15',"1,335# ea",USBEAM,
14x90,"24' 5""","2,198# ea",USBEAM,26.5
14x90,34',"3,060# ea",SWF1490,26.5
14x90,46',"4,140# ea",SWF1490,26.5
14x159,40',"6,360# ea",SWF14159,46.7
16x31,19',589# ea.,SWF1631,9.13
16x36,"15' 3""",549# ea.,SWF1631,10.6
18x35,8',315# ea,USBEAM,10.3
18x35,9',315# ea.,SWF1835,10.3
18x35,"10' 6""",368# ea,USBEAM,10.3
18x40,"11' 10""",473# ea,USBEAM,11.8
18x46,"14' 10""",682# ea,USBEAM,13.5
18x60,"19' 10""","1,172# ea.",SWF1860,17.6
18x97,"14' 2""","1,374# ea",USBEAM,28.5
18x119,"21' 5""","2,549# ea",USBEAM,35.1
18x143,"20' 6""","2,932# ea",USBEAM,42.0
18x143,"26' 4""","3,766# ea",USBEAM,42.0
21x48,"20' 6""",984# ea,USBEAM,14.1
21x50,"8' 3""",413# ea,USBEAM,14.7
21x50,"14' 9""",738# ea,USBEAM,14.7
21x55,20',"1,100# ea",USBEAM,16.2
21x62,16',992# ea,USBEAM,18.3
